date1,hour1,price,output
21.01.2015,11,62.08,0.6809999999999999
21.01.2015,12,55.73,0.9990000000000001
21.01.2015,13,52.6,1.349
21.01.2015,14,48.0,1.547
21.01.2015,15,50.0,1.449
21.01.2015,16,51.02,0.9329999999999999
21.01.2015,17,55.47,0.672
21.01.2015,18,59.82,0.727
21.01.2015,19,57.66,0.934
21.01.2015,20,50.25,1.112
21.01.2015,21,45.0,1.038
21.01.2015,22,42.0,0.9009999999999999
21.01.2015,23,43.96,0.723
22.01.2015,0,43.57,0.569
22.01.2015,1,42.24,0.48
22.01.2015,2,39.5,0.5720000000000001
22.01.2015,3,35.51,0.677
22.01.2015,4,35.31,0.799
22.01.2015,5,41.55,1.011
22.01.2015,6,45.48,1.185
22.01.2015,7,53.41,1.1159999999999999
22.01.2015,8,59.66,0.777
22.01.2015,9,61.57,0.489
22.01.2015,10,63.27,0.493
22.01.2015,11,61.45,0.968
22.01.2015,12,55.35,2.3480000000000003
22.01.2015,13,54.01,4.699
22.01.2015,14,51.54,7.518
22.01.2015,15,49.99,10.293
22.01.2015,16,51.99,15.356
22.01.2015,17,59.2,17.484
22.01.2015,18,64.56,16.414
22.01.2015,19,64.57,14.231
22.01.2015,20,56.5,13.547
22.01.2015,21,48.15,13.46
22.01.2015,22,49.41,14.273
22.01.2015,23,48.0,16.355999999999998
23.01.2015,0,42.34,18.874000000000002
23.01.2015,1,42.1,19.589000000000002
23.01.2015,2,39.4,19.895
23.01.2015,3,38.0,19.783
23.01.2015,4,35.0,20.253
23.01.2015,5,38.0,20.134
23.01.2015,6,43.6,21.226999999999997
23.01.2015,7,54.96,21.96
23.01.2015,8,60.72,25.495
23.01.2015,9,61.62,30.701
23.01.2015,10,61.48,34.185
23.01.2015,11,56.6,36.804
23.01.2015,12,52.9,38.327
23.01.2015,13,50.14,38.617
23.01.2015,14,46.58,38.152
23.01.2015,15,44.09,34.325
23.01.2015,16,45.18,34.008
23.01.2015,17,49.98,32.478
